UPID	Gene	Molecular weight (Da)	GALACTOSE	ACETATE	PYRUVATE	GLYCEROL	FRUCTOSE	SUCCINATE	GLUCOSE	Annotated functional COG group (description)	Description	Annotated functional COG class	Annotated functional COG groups (letter)
Q46839	glcA	58863.68758	27	40	2	7	1	7	1	Energy production and conversion	Glycolate permease glcA OS=Escherichia coli (strain K12) GN=glcA PE=1 SV=1	METABOLISM	C
P52074	glcF	45063.30465	2	32	0	4	0	2	0	Energy production and conversion	Glycolate oxidase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=glcF PE=4 SV=1	METABOLISM	C
P69739	hyaA	40636.93027	0	0	1	1	0	0	0	Energy production and conversion	Hydrogenase-1 small chain OS=Escherichia coli (strain K12) GN=hyaA PE=1 SV=1	METABOLISM	C
P16431	hycE	64920.75289	1	0	1	2	4	3	1	Energy production and conversion	Formate hydrogenlyase subunit 5 OS=Escherichia coli (strain K12) GN=hycE PE=1 SV=1	METABOLISM	C
P33937	napA	92964.82882	0	0	16	3	NA	3	1	Energy production and conversion	Periplasmic nitrate reductase OS=Escherichia coli (strain K12) GN=napA PE=1 SV=3	METABOLISM	C
P77611	rsxC	80103.92128	6	5	5	8	9	6	10	Energy production and conversion	Electron transport complex protein rnfC OS=Escherichia coli (strain K12) GN=rnfC PE=3 SV=1	METABOLISM	C
P77285	rsxG	21880.35735	61	68	77	82	71	69	90	Energy production and conversion	Electron transport complex protein rnfG OS=Escherichia coli (strain K12) GN=rnfG PE=3 SV=1	METABOLISM	C
P69054	sdhC	14271.78771	810	2051	1981	1053	2006	1964	860	Energy production and conversion	Succinate dehydrogenase cytochrome b556 subunit OS=Escherichia coli (strain K12) GN=sdhC PE=1 SV=1	METABOLISM	C
P0AC44	sdhD	12841.03993	16	33	48	30	49	41	29	Energy production and conversion	Succinate dehydrogenase hydrophobic membrane anchor subunit OS=Escherichia coli (strain K12) GN=sdhD PE=1 SV=1	METABOLISM	C
P36560	asr	10566.75765	0	0	0	0	0	0	0		Acid shock protein OS=Escherichia coli (strain K12) GN=asr PE=1 SV=3		-
P0AEC5	barA	102369.9211	1	2	3	3	2	2	2		Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1		-
P37659	bcsG	61974.43042	24	38	58	73	69	53	42		Uncharacterized protein yhjU OS=Escherichia coli (strain K12) GN=yhjU PE=4 SV=1		-
P0AB40	bhsA	8791.53021	1169	42	48	406	2916	1453	156		Multiple stress resistance protein BhsA OS=Escherichia coli (strain K12) GN=bhsA PE=1 SV=1		-
P77330	borD	10422.52736	251	713	2111	2192	645	410	2525		Lipoprotein bor homolog from lambdoid prophage DLP12 OS=Escherichia coli (strain K12) GN=borD PE=3 SV=1		-
P0AE60	cedA	9352.80035	22	42	53	51	NA	63	80		Cell division activator CedA OS=Escherichia coli (strain K12) GN=cedA PE=1 SV=2		-
P64467	cnu	8393.29455	13	17	34	35	35	22	46		OriC-binding nucleoid-associated protein OS=Escherichia coli (strain K12) GN=cnu PE=1 SV=1		-
P23840	dinD	31041.03114	1	2	0	0	NA	3	0		DNA-damage-inducible protein D OS=Escherichia coli (strain K12) GN=dinD PE=4 SV=1		-
P08191	fimH	31435.88856	6	2	1	29	NA	15	17		Protein fimH OS=Escherichia coli (strain K12) GN=fimH PE=1 SV=2		-
P0AC92	gnsA	6553.42733	881	506	702	1005	1146	974	1269		Protein gnsA OS=Escherichia coli (strain K12) GN=gnsA PE=3 SV=1		-
P0AES9	hdeA	11832.1397	14982	34973	1677	3012	4668	5373	2099		Chaperone-like protein hdeA OS=Escherichia coli (strain K12) GN=hdeA PE=1 SV=1		-
P0AAN1	hybE	17933.87874	22	13	32	37	NA	59	110		Hydrogenase-2 operon protein hybE OS=Escherichia coli (strain K12) GN=hybE PE=1 SV=1		-
P0AFM9	pspB	8739.60149	128	212	350	248	372	241	318		Phage shock protein B OS=Escherichia coli (strain K12) GN=pspB PE=1 SV=1		-
P68191	sra	5074.75469	4451	4310	3608	5474	3444	3900	3458		Stationary-phase-induced ribosome-associated protein OS=Escherichia coli (strain K12) GN=sra PE=1 SV=1		-
P0AAQ2	yajD	13337.39409	104	79	151	187	131	128	103		Uncharacterized protein yajD OS=Escherichia coli (strain K12) GN=yajD PE=4 SV=1		-
P37325	ybcH	33018.04379	4	5	2	3	NA	3	5		Uncharacterized protein ybcH OS=Escherichia coli (strain K12) GN=ybcH PE=4 SV=2		-
P0AAV6	ybgS	12845.9355	417	301	190	238	180	274	338		Uncharacterized protein ybgS OS=Escherichia coli (strain K12) GN=ybgS PE=4 SV=1		-
P58094	yciX	6315.89466	60	72	27	71	NA	25	105		Uncharacterized protein yciX OS=Escherichia coli (strain K12) GN=yciX PE=4 SV=2		-
A5A614	yciZ	6419.36264	3	9	25	8	NA	8	14		UPF0509 protein yciZ OS=Escherichia coli (strain K12) GN=yciZ PE=3 SV=1		-
P64463	ydfZ	7253.75327	32	15	16	12	6	16	18		Putative selenoprotein ydfZ OS=Escherichia coli (strain K12) GN=ydfZ PE=1 SV=1		-
P64476	ydiH	7243.81714	216	539	250	200	252	231	569		Uncharacterized protein ydiH OS=Escherichia coli (strain K12) GN=ydiH PE=4 SV=2		-
P64479	ydiZ	10840.26976	50	237	93	92	28	23	125		Uncharacterized protein ydiZ OS=Escherichia coli (strain K12) GN=ydiZ PE=4 SV=1		-
P46887	yecH	8605.13839	2	1	8	4	NA	3	3		Uncharacterized protein yecH OS=Escherichia coli (strain K12) GN=yecH PE=4 SV=2		-
P76471	yfaZ	18580.07438	0	1	0	3	NA	4	3		Uncharacterized protein yfaZ OS=Escherichia coli (strain K12) GN=yfaZ PE=4 SV=2		-
P65292	ygdI	8150.86723	1978	1243	1809	1753	948	1295	1446		Uncharacterized lipoprotein ygdI OS=Escherichia coli (strain K12) GN=ygdI PE=4 SV=1		-
P64614	yhcN	9172.6045	14	18	15	64	NA	20	35		Uncharacterized protein YhcN OS=Escherichia coli (strain K12) GN=yhcN PE=3 SV=1		-
P0ADX5	yhfG	6576.51859	105	7	8	16	17	23	25		Uncharacterized protein yhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1		-
P37615	yhhM	13470.02868	46	40	47	49	38	32	60		Uncharacterized protein yhhM OS=Escherichia coli (strain K12) GN=yhhM PE=4 SV=1		-
Q2M7R5	yibT	7972.24394	278	240	421	446	248	222	642		Uncharacterized protein yibT OS=Escherichia coli (strain K12) GN=yibT PE=4 SV=1		-
P18390	yjjA	17323.79744	178	114	205	224	206	181	211		Uncharacterized protein yjjA OS=Escherichia coli (strain K12) GN=yjjA PE=4 SV=3		-
P64448	ynbE	6817.65486	68	46	78	87	145	83	83		Uncharacterized protein ynbE OS=Escherichia coli (strain K12) GN=ynbE PE=4 SV=1		-
P76227	ynjH	9923.0098	86	91	123	115	NA	107	139		Uncharacterized protein ynjH OS=Escherichia coli (strain K12) GN=ynjH PE=4 SV=1		-
A5A621	ypfM	2388.24459	0	1	5	9	NA	0	2		Uncharacterized protein ypfM OS=Escherichia coli (strain K12) GN=ypfM PE=1 SV=1		-
P45795	yrdB	9982.60236	84	123	124	139	NA	157	302		Uncharacterized protein yrdB OS=Escherichia coli (strain K12) GN=yrdB PE=4 SV=1		-
P21361	yciG	5980.82158	62	33	45	71	58	23	64		Uncharacterized protein yciG OS=Escherichia coli (strain K12) GN=yciG PE=1 SV=1		-
P23477	addB	134541.5039	20	12	11	11	12	12	13		ATP-dependent helicase/deoxyribonuclease subunit B OS=Bacillus subtilis GN=addB PE=1 SV=2		-
P76445	yeiU	26723.51423	4	1	4	4	24	7	17		Inner membrane protein yeiU OS=Escherichia coli (strain K12) GN=yeiU PE=1 SV=2		-
P0A6W0	glsA	33476.09614	0	1	0	0	NA	0	5		Glutaminase 2 OS=Escherichia coli (strain K12) GN=glsA2 PE=3 SV=1		-
P0ACC1	hemK	30937.63414	1	0	9	5	NA	5	2		Protein methyltransferase hemK OS=Escherichia coli (strain K12) GN=hemK PE=1 SV=1		-
P00892	ilvG	59228.74221	10	13	72	35	37	28	52		Acetolactate synthase isozyme 2 large subunit OS=Escherichia coli (strain K12) GN=ilvG PE=1 SV=3		-
B8LFD5	NA	38834.1893	17	14	20	18	23	25	19		Lac repressor OS=Escherichia coli (strain K12) PE=4 SV=1		-
P45532	tusD	13614.822	18	18	51	20	NA	23	25		Sulfurtransferase tusD OS=Escherichia coli (strain K12) GN=tusD PE=1 SV=1		-
P0AB18	tusE	12384.41873	242	346	332	387	NA	410	482		Sulfurtransferase tusE OS=Escherichia coli (strain K12) GN=tusE PE=1 SV=1		-
P56258	wecF	40595.8448	5	3	5	7	10	6	5		4-alpha-L-fucosyltransferase OS=Escherichia coli (strain K12) GN=wecF PE=1 SV=2		-
P27836	wecG	27892.60086	8	13	8	19	NA	16	30		Probable UDP-N-acetyl-D-mannosaminuronic acid transferase OS=Escherichia coli (strain K12) GN=wecG PE=3 SV=2		-
P0AFU4	yfhA	49099.78119	5	3	3	8	NA	10	9		Uncharacterized protein yfhA OS=Escherichia coli (strain K12) GN=yfhA PE=3 SV=1		-
P64423	zntB	36570.59722	13	12	6	17	19	10	9		Zinc transport protein ZntB OS=Escherichia coli (strain K12) GN=zntB PE=1 SV=1		-
P24177	acrD	112957.1519	0	1	3	2	1	0	1	Defense mechanisms	Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) GN=acrD PE=3 SV=3	CELLULAR PROCESSES AND SIGNALING	V
P0AE14	ampE	32083.28877	0	6	7	4	0	1	4	Defense mechanisms	Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	V
P76398	mdtB	111988.6069	0	0	1	1	5	1	0	Defense mechanisms	Multidrug resistance protein MdtB OS=Escherichia coli (strain K12) GN=mdtB PE=2 SV=1	CELLULAR PROCESSES AND SIGNALING	V
P37637	mdtF	111427.8252	1	0	1	0	0	0	0	Defense mechanisms	Multidrug resistance protein MdtF OS=Escherichia coli (strain K12) GN=mdtF PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	V
P0AAA9	zraP	15171.31795	0	0	0	0	0	0	2	Intracellular trafficking, secretion, and vesicular transport	Zinc resistance-associated protein OS=Escherichia coli (strain K12) GN=zraP PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	UNTP
P33647	chpB	12466.47567	174	104	133	84	165	174	72	Signal transduction mechanisms	mRNA interferase ChpB OS=Escherichia coli (strain K12) GN=chpB PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P0AFX7	rseA	24287.99697	41	30	73	66	37	51	44	Signal transduction mechanisms	Sigma-E factor negative regulatory protein OS=Escherichia coli (strain K12) GN=rseA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P18392	rstB	49233.45324	3	3	7	8	9	8	6	Signal transduction mechanisms	Sensor protein rstB OS=Escherichia coli (strain K12) GN=rstB PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P76502	sixA	17178.5693	23	23	39	37	35	38	61	Signal transduction mechanisms	Phosphohistidine phosphatase sixA OS=Escherichia coli (strain K12) GN=sixA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P41039	ybiI	9731.70726	1	3	1	4	0	2	3	Signal transduction mechanisms	Uncharacterized protein ybiI OS=Escherichia coli (strain K12) GN=ybiI PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P0AD14	yehU	62034.63444	0	2	5	1	0	1	0	Signal transduction mechanisms	Inner membrane protein yehU OS=Escherichia coli (strain K12) GN=yehU PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P08365	chpS	9247.64529	0	1	1	2	NA	1	9	Signal transduction mechanisms	Antitoxin ChpS OS=Escherichia coli (strain K12) GN=chpS PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P14376	rcsC	106420.8268	0	0	2	1	0	0	1	Signal transduction mechanisms	Sensor kinase protein RcsC OS=Escherichia coli (strain K12) GN=rcsC PE=1 SV=3	CELLULAR PROCESSES AND SIGNALING	T
P76446	rtn	58532.56207	0	0	5	0	0	0	1	Signal transduction mechanisms	Protein Rtn OS=Escherichia coli (strain K12) GN=rtn PE=2 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P08368	creB	26090.80672	0	7	5	6	3	2	8	Signal transduction mechanisms	Transcriptional regulatory protein CreB OS=Escherichia coli (strain K12) GN=creB PE=3 SV=1	CELLULAR PROCESSES AND SIGNALING	TK
P0AFJ5	phoB	26398.404	15	10	14	16	7	16	7	Signal transduction mechanisms	Phosphate regulon transcriptional regulatory protein phoB OS=Escherichia coli (strain K12) GN=phoB PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	TK
P77302	ydaM	46404.9105	11	12	3	14	11	23	3	Signal transduction mechanisms	Probable diguanylate cyclase YdaM OS=Escherichia coli (strain K12) GN=ydaM PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P31129	ydeH	33823.93182	3	1	1	1	4	3	1	Signal transduction mechanisms	Diguanylate cyclase YdeH OS=Escherichia coli (strain K12) GN=ydeH PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P76237	yeaJ	56548.98294	3	3	1	1	0	0	1	Signal transduction mechanisms	Putative diguanylate cylase YeaJ OS=Escherichia coli (strain K12) GN=yeaJ PE=2 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P76245	yeaP	38503.42049	0	0	0	2	NA	2	3	Signal transduction mechanisms	Probable diguanylate cyclase YeaP OS=Escherichia coli (strain K12) GN=yeaP PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P23842	yfeA	83451.88215	0	1	1	1	0	0	1	Signal transduction mechanisms	Uncharacterized protein YfeA OS=Escherichia coli (strain K12) GN=yfeA PE=2 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P32677	yijO	32111.33842	2	2	2	3	NA	4	2	Signal transduction mechanisms	Uncharacterized HTH-type transcriptional regulator yijO OS=Escherichia coli (strain K12) GN=yijO PE=4 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P52106	csgD	24902.0035	1	0	0	0	NA	0	0	Signal transduction mechanisms	CsgBAC operon transcriptional regulatory protein OS=Escherichia coli (strain K12) GN=csgD PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	TK
P0A8V0	rbn	32890.88317	4	4	9	7	10	6	7	Function unknown	Ribonuclease Z OS=Escherichia coli (strain K12) GN=rnz PE=1 SV=1	POORLY CHARACTERIZED	S
P0A8H8	yacG	7283.40821	9	52	87	84	3	21	95	Function unknown	UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1	POORLY CHARACTERIZED	S
P0AA97	yaeQ	20845.49274	1	1	2	2	2	0	2	Function unknown	Uncharacterized protein yaeQ OS=Escherichia coli (strain K12) GN=yaeQ PE=1 SV=1	POORLY CHARACTERIZED	S
P0A8D3	yaiI	16940.74665	8	24	27	34	24	15	49	Function unknown	UPF0178 protein yaiI OS=Escherichia coli (strain K12) GN=yaiI PE=1 SV=1	POORLY CHARACTERIZED	S
P51024	yaiL	19892.57974	39	55	42	52	83	73	88	Function unknown	Uncharacterized protein yaiL OS=Escherichia coli (strain K12) GN=yaiL PE=4 SV=2	POORLY CHARACTERIZED	S
P0AAS9	ybdD	7444.44419	2	2	1	10	0	0	1	Function unknown	Uncharacterized protein ybdD OS=Escherichia coli (strain K12) GN=ybdD PE=4 SV=1	POORLY CHARACTERIZED	S
P24252	ybgA	20180.48824	0	0	0	0	0	0	0	Function unknown	Uncharacterized protein ybgA OS=Escherichia coli (strain K12) GN=ybgA PE=4 SV=1	POORLY CHARACTERIZED	S
P75767	ybhK	32749.41328	4	2	5	4	0	0	4	Function unknown	UPF0052 protein ybhK OS=Escherichia coli (strain K12) GN=ybhK PE=3 SV=1	POORLY CHARACTERIZED	S
P0A8C1	ybjQ	11411.79062	122	87	85	110	78	86	87	Function unknown	UPF0145 protein ybjQ OS=Escherichia coli (strain K12) GN=ybjQ PE=1 SV=1	POORLY CHARACTERIZED	S
P75839	ycaP	26246.69386	29	8	11	13	14	16	4	Function unknown	UPF0702 transmembrane protein ycaP OS=Escherichia coli (strain K12) GN=ycaP PE=3 SV=1	POORLY CHARACTERIZED	S
P37052	ychJ	16960.9477	3	2	4	5	7	5	7	Function unknown	UPF0225 protein ychJ OS=Escherichia coli (strain K12) GN=ychJ PE=1 SV=2	POORLY CHARACTERIZED	S
P0ACV4	yciS	11326.27978	176	135	169	166	192	163	58	Function unknown	Inner membrane protein yciS OS=Escherichia coli (strain K12) GN=yciS PE=1 SV=1	POORLY CHARACTERIZED	S
P0A8R7	ycjF	39349.43739	30	21	23	30	29	30	19	Function unknown	UPF0283 membrane protein ycjF OS=Escherichia coli (strain K12) GN=ycjF PE=1 SV=1	POORLY CHARACTERIZED	S
P76076	ydbL	11852.35305	7	4	9	7	8	10	9	Function unknown	Uncharacterized protein ydbL OS=Escherichia coli (strain K12) GN=ydbL PE=4 SV=2	POORLY CHARACTERIZED	S
P76231	yeaC	10313.09727	32	36	50	71	81	44	79	Function unknown	Uncharacterized protein yeaC OS=Escherichia coli (strain K12) GN=yeaC PE=4 SV=2	POORLY CHARACTERIZED	S
P37348	yecE	31441.29762	1	0	1	1	1	0	0	Function unknown	UPF0759 protein yecE OS=Escherichia coli (strain K12) GN=yecE PE=1 SV=4	POORLY CHARACTERIZED	S
P76318	yedK	24945.47371	2	1	1	1	1	2	2	Function unknown	Uncharacterized protein yedK OS=Escherichia coli (strain K12) GN=yedK PE=1 SV=2	POORLY CHARACTERIZED	S
P0AD24	yejL	8265.27759	178	151	227	227	263	217	299	Function unknown	UPF0352 protein yejL OS=Escherichia coli (strain K12) GN=yejL PE=1 SV=1	POORLY CHARACTERIZED	S
P33644	yfiH	26304.0757	16	9	9	10	12	9	22	Function unknown	UPF0124 protein yfiH OS=Escherichia coli (strain K12) GN=yfiH PE=1 SV=1	POORLY CHARACTERIZED	S
P52060	yggU	10431.76399	42	23	38	22	66	42	46	Function unknown	UPF0235 protein yggU OS=Escherichia coli (strain K12) GN=yggU PE=3 SV=2	POORLY CHARACTERIZED	S
P67624	yheU	8446.2252	0	0	0	0	0	0	0	Function unknown	UPF0270 protein yheU OS=Escherichia coli (strain K12) GN=yheU PE=3 SV=1	POORLY CHARACTERIZED	S
P23305	yigA	26693.89682	7	5	9	10	13	14	10	Function unknown	Uncharacterized protein yigA OS=Escherichia coli (strain K12) GN=yigA PE=4 SV=1	POORLY CHARACTERIZED	S
P0ADB7	ecnB	4788.51531	59709	41705	21274	40794	26707	37717	35719	Function unknown	Entericidin B OS=Escherichia coli (strain K12) GN=ecnB PE=3 SV=1	POORLY CHARACTERIZED	S
P67697	hicB	15218.98275	81	62	111	118	124	86	189	Function unknown	Antitoxin HicB OS=Escherichia coli (strain K12) GN=hicB PE=1 SV=2	POORLY CHARACTERIZED	S
P0AB20	hspQ	11753.87245	6	10	14	0	NA	3	15	Function unknown	Heat shock protein hspQ OS=Escherichia coli (strain K12) GN=hspQ PE=1 SV=2	POORLY CHARACTERIZED	S
P0ADV9	lptC	21671.13798	82	57	54	58	79	76	58	Function unknown	Lipopolysaccharide export system protein lptC OS=Escherichia coli (strain K12) GN=lptC PE=1 SV=1	POORLY CHARACTERIZED	S
P0A8N0	matP	17664.37878	23	34	58	69	51	33	52	Function unknown	UPF0268 protein ycbG OS=Escherichia coli (strain K12) GN=ycbG PE=3 SV=1	POORLY CHARACTERIZED	S
P77182	mnmC	74368.85895	2	4	3	3	2	5	7	Function unknown	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein mnmC OS=Escherichia coli (strain K12) GN=mnmC PE=1 SV=2	POORLY CHARACTERIZED	S
P76079	paaC	27842.07375	0	1	2	1	0	1	1	Function unknown	Phenylacetic acid degradation protein paaC OS=Escherichia coli (strain K12) GN=paaC PE=1 SV=1	POORLY CHARACTERIZED	S
P60782	plsY	22160.83806	2	1	7	7	6	4	0	Function unknown	Probable glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsY PE=1 SV=1	POORLY CHARACTERIZED	S
P0AG71	rmuC	54712.72213	2	1	3	2	1	1	1	Function unknown	DNA recombination protein rmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1	POORLY CHARACTERIZED	S
P18393	ybdZ	8247.87699	13	39	60	37	34	66	106	Function unknown	Uncharacterized protein ybdZ OS=Escherichia coli (strain K12) GN=ybdZ PE=4 SV=1	POORLY CHARACTERIZED	S
P0AB35	ycfJ	18890.71457	3	1	14	7	NA	3	52	Function unknown	Uncharacterized protein ycfJ OS=Escherichia coli (strain K12) GN=ycfJ PE=4 SV=1	POORLY CHARACTERIZED	S
P77433	ykgG	25178.92327	0	2	9	1	0	1	2	Function unknown	Uncharacterized protein ykgG OS=Escherichia coli (strain K12) GN=ykgG PE=3 SV=2	POORLY CHARACTERIZED	S
P42626	yhaM	45314.01645	6	4	9	10	8	9	7	Function unknown	UPF0597 protein yhaM OS=Escherichia coli (strain K12) GN=yhaM PE=3 SV=3	POORLY CHARACTERIZED	S
P46474	yhdP	138949.1541	2	1	2	1	3	3	1	Function unknown	Uncharacterized protein yhdP OS=Escherichia coli (strain K12) GN=yhdP PE=4 SV=4	POORLY CHARACTERIZED	S
P0AF59	yjdI	8526.257	2	40	27	44	NA	33	104	Function unknown	Uncharacterized protein yjdI OS=Escherichia coli (strain K12) GN=yjdI PE=1 SV=1	POORLY CHARACTERIZED	S
P64517	yodC	6656.08542	4	21	4	28	NA	6	22	Function unknown	Uncharacterized protein yodC OS=Escherichia coli (strain K12) GN=yodC PE=1 SV=1	POORLY CHARACTERIZED	S
P0AD40	ypeB	8391.61238	18	22	11	28	22	25	40	Function unknown	Uncharacterized protein ypeB OS=Escherichia coli (strain K12) GN=ypeB PE=4 SV=1	POORLY CHARACTERIZED	S
P39321	tamB	136677.0266	3	2	4	2	4	3	3	Function unknown	Uncharacterized protein ytfN OS=Escherichia coli (strain K12) GN=ytfN PE=1 SV=2	POORLY CHARACTERIZED	S
P27250	ahr	36460.44988	0	2	2	1	0	0	1	General function prediction only	Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB OS=Escherichia coli (strain K12) GN=yjgB PE=3 SV=2	POORLY CHARACTERIZED	R
P0AFP4	ybbO	29373.10702	32	15	46	36	45	35	39	General function prediction only	Uncharacterized oxidoreductase ybbO OS=Escherichia coli (strain K12) GN=ybbO PE=3 SV=1	POORLY CHARACTERIZED	R
P0AF52	ghxP	45663.88814	76	80	71	55	105	84	81	General function prediction only	Putative permease yjcD OS=Escherichia coli (strain K12) GN=yjcD PE=1 SV=1	POORLY CHARACTERIZED	R
P0AEH3	elaA	17390.65594	64	73	67	101	111	96	139	General function prediction only	Protein elaA OS=Escherichia coli (strain K12) GN=elaA PE=3 SV=1	POORLY CHARACTERIZED	R
P37147	fxsA	17662.46555	0	0	5	6	0	8	1	General function prediction only	UPF0716 protein fxsA OS=Escherichia coli (strain K12) GN=fxsA PE=1 SV=2	POORLY CHARACTERIZED	R
P0AEY3	mazG	30375.18521	14	5	2	2	12	10	2	General function prediction only	Nucleoside triphosphate pyrophosphohydrolase OS=Escherichia coli (strain K12) GN=mazG PE=1 SV=1	POORLY CHARACTERIZED	R
P37750	wbbJ	21643.43555	117	120	100	71	72	139	41	General function prediction only	Putative lipopolysaccharide biosynthesis O-acetyl transferase wbbJ OS=Escherichia coli (strain K12) GN=wbbJ PE=3 SV=2	POORLY CHARACTERIZED	R
P0A9T6	ybaQ	13144.90646	31	7	29	40	50	34	40	General function prediction only	Uncharacterized HTH-type transcriptional regulator ybaQ OS=Escherichia coli (strain K12) GN=ybaQ PE=1 SV=1	POORLY CHARACTERIZED	R
P0A898	ybeY	17496.46109	376	20	17	5	326	277	14	General function prediction only	Probable rRNA maturation factor YbeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1	POORLY CHARACTERIZED	R
P0AAW1	ybhP	28753.60686	8	8	3	9	5	4	9	General function prediction only	Uncharacterized protein ybhP OS=Escherichia coli (strain K12) GN=ybhP PE=4 SV=1	POORLY CHARACTERIZED	R
P60869	ybjL	60293.83017	0	0	1	0	0	0	0	General function prediction only	Putative transport protein YbjL OS=Escherichia coli (strain K12) GN=ybjL PE=3 SV=1	POORLY CHARACTERIZED	R
P67699	yddM	10376.46353	3	46	75	59	8	9	70	General function prediction only	Uncharacterized HTH-type transcriptional regulator YddM OS=Escherichia coli (strain K12) GN=yddM PE=3 SV=1	POORLY CHARACTERIZED	R
P76342	yedY	37327.34044	29	14	12	26	33	22	20	General function prediction only	Sulfoxide reductase catalytic subunit yedY OS=Escherichia coli (strain K12) GN=yedY PE=1 SV=1	POORLY CHARACTERIZED	R
P33015	yeeE	38057.23736	1	1	39	7	3	4	3	General function prediction only	UPF0394 inner membrane protein yeeE OS=Escherichia coli (strain K12) GN=yeeE PE=1 SV=1	POORLY CHARACTERIZED	R
P60872	yidE	58883.01742	1	1	1	2	4	1	1	General function prediction only	Putative transport protein YidE OS=Escherichia coli (strain K12) GN=yidE PE=3 SV=1	POORLY CHARACTERIZED	R
P08550	cvpA	17877.46152	9	7	13	12	10	8	8	General function prediction only	Colicin V production protein OS=Escherichia coli (strain K12) GN=cvpA PE=1 SV=1	POORLY CHARACTERIZED	R
P31992	pptA	8649.39596	63	199	297	198	NA	179	258	General function prediction only	Tautomerase pptA OS=Escherichia coli (strain K12) GN=pptA PE=1 SV=3	POORLY CHARACTERIZED	R
P76194	sufE	15772.20615	11	10	7	7	13	14	5	General function prediction only	Cysteine desulfuration protein sufE OS=Escherichia coli (strain K12) GN=sufE PE=1 SV=1	POORLY CHARACTERIZED	R
P75746	ybgL	25766.06281	2	12	4	7	3	4	0	General function prediction only	UPF0271 protein ybgL OS=Escherichia coli (strain K12) GN=ybgL PE=1 SV=1	POORLY CHARACTERIZED	R
P46144	yedJ	25870.071	0	0	0	0	NA	1	2	General function prediction only	Uncharacterized protein yedJ OS=Escherichia coli (strain K12) GN=yedJ PE=1 SV=2	POORLY CHARACTERIZED	R
P39298	yjfP	27552.8958	69	94	89	142	113	92	159	General function prediction only	Esterase yjfP OS=Escherichia coli (strain K12) GN=yjfP PE=1 SV=1	POORLY CHARACTERIZED	R
P0A8Y1	yjjG	25266.64985	19	9	30	33	35	26	66	General function prediction only	Pyrimidine 5'-nucleotidase YjjG OS=Escherichia coli (strain K12) GN=yjjG PE=1 SV=1	POORLY CHARACTERIZED	R
P76561	ypfH	24821.4456	24	42	17	40	0	1	51	General function prediction only	Esterase YpfH OS=Escherichia coli (strain K12) GN=ypfH PE=3 SV=2	POORLY CHARACTERIZED	R
P0A8Z7	yqiA	21609.74693	47	45	32	37	44	37	23	General function prediction only	Esterase yqiA OS=Escherichia coli (strain K12) GN=yqiA PE=4 SV=1	POORLY CHARACTERIZED	R
P45468	yraQ	37213.82031	7	6	11	9	14	10	10	General function prediction only	UPF0718 protein yraQ OS=Escherichia coli (strain K12) GN=yraQ PE=3 SV=1	POORLY CHARACTERIZED	R
P0AE45	ytfL	49712.72916	1	9	13	7	3	4	12	General function prediction only	UPF0053 inner membrane protein ytfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1	POORLY CHARACTERIZED	R
P31825	yfiC	27234.44974	5	7	13	18	NA	14	29	General function prediction only	tRNA (adenine-N(6)-)-methyltransferase OS=Escherichia coli (strain K12) GN=yfiC PE=1 SV=2	POORLY CHARACTERIZED	R
P42597	ygjP	19452.21443	0	0	0	0	NA	1	1	General function prediction only	Uncharacterized protein ygjP OS=Escherichia coli (strain K12) GN=ygjP PE=4 SV=2	POORLY CHARACTERIZED	R
